"MouseGene","MUSENSG","HumanGene"
"Aanat","ENSMUSG00000020804","AANAT"
"Aatk","ENSMUSG00000025375","AATK"
"Abca1","ENSMUSG00000015243","ABCA1"
"Abca4","ENSMUSG00000028125","ABCA4"
"Abca2","ENSMUSG00000026944","ABCA2"
"Abcb7","ENSMUSG00000031333","ABCB7"
"Abcg1","ENSMUSG00000024030","ABCG1"
"Abi1","ENSMUSG00000058835","ABI1"
"Abl1","ENSMUSG00000026842","ABL1"
"Abl2","ENSMUSG00000026596","ABL2"
"Acadl","ENSMUSG00000026003","ACADL"
"Acadm","ENSMUSG00000062908","ACADM"
"Acadvl","ENSMUSG00000018574","ACADVL"
"Acads","ENSMUSG00000029545","ACADS"
"Slc33a1","ENSMUSG00000027822","SLC33A1"
"Asic2","ENSMUSG00000020704","ASIC2"
"Asic1","ENSMUSG00000023017","ASIC1"
"Ace","ENSMUSG00000020681","ACE"
"Ache","ENSMUSG00000023328","ACHE"
"Apoc4","ENSMUSG00000074336","APOC4"
"Aco1","ENSMUSG00000028405","ACO1"
"Aco2","ENSMUSG00000022477","ACO2"
"Acox1","ENSMUSG00000020777","ACOX1"
"Acp1","ENSMUSG00000044573","ACP1"
"Acp2","ENSMUSG00000002103","ACP2"
"Acr","ENSMUSG00000022622","ACR"
"Chrna1","ENSMUSG00000027107","CHRNA1"
"Chrna4","ENSMUSG00000027577","CHRNA4"
"Chrna6","ENSMUSG00000031491","CHRNA6"
"Chrna7","ENSMUSG00000030525","CHRNA7"
"Chrnb1","ENSMUSG00000041189","CHRNB1"
"Chrnb2","ENSMUSG00000027950","CHRNB2"
"Chrnd","ENSMUSG00000026251","CHRND"
"Chrne","ENSMUSG00000014609","CHRNE"
"Chrng","ENSMUSG00000026253","CHRNG"
"Adipoq","ENSMUSG00000022878","ADIPOQ"
"Acrv1","ENSMUSG00000032110","ACRV1"
"Acta1","ENSMUSG00000031972","ACTA1"
"Actb","ENSMUSG00000029580","ACTB"
"Actc1","ENSMUSG00000068614","ACTC1"
"Actg1","ENSMUSG00000062825","ACTG1"
"Actg2","ENSMUSG00000059430","ACTG2"
"Actl7a","ENSMUSG00000070979","ACTL7A"
"Actl7b","ENSMUSG00000070980","ACTL7B"
"Actn2","ENSMUSG00000052374","ACTN2"
